County,Public School District,School Name,School Bldg Number,Administrator,Address,City,State,Zip,Phone Number,Email Address,Web Site Address,Grade,Profit/Non-Profit,Accredited,Residential School,Special Education,Gifted,,,
Snohomish,Everett,Light of Faith Christian Academy,800X,Claudia Zimmerer,18008 Bothell-Everett Hwy #H,Bothell,WA,98012-6842,425.412.4192,Dylan@LightofFaith.org,www.LightofFaith.org,P-12,NP,,,,,,,
Pierce,Peninsula,Lighthouse Christian School,8998,Stephen Roddy,3008 36th St NW,Gig Harbor,WA,98335-8256,253.858.5962,sroddy@lcschool.org,www.lcschool.org,K-8,NP,ACSI,,,,,,
Kittitas,White Salmon Val,Little Oak Montessori School (formerly Little Oak Children's House-2009),8342,Naomi Bull,"1054 SE Oak St 
(Mail: PO Box 530
 White Salmon 98672-0530)",White Salmon,WA,98672,509.281.1721,admin@littleoakmontessori.com,www.littleoakmontessori.com,P-1,NP,,,,,,,
Kittitas,White Salmon Val,Little Oak Montessori School--2nd Location,802T,Naomi Bull,"871 NE Estes
(Mail: PO Box 530
White Salmon 98672-0530)",White Salmon,WA,98672-0428,509.281.1721,admin@littleoakmontessori.com,www.littleoakmontessori.com,2-6,NP,,,,,,,
King,Bellevue,Living Montessori Academy  (formerly Planet Kids Bellevue) (2010),1469,Afrose Amlani,2445 140th Ave NE,Bellevue,WA,98005-1879,425.373.5437,afrose@livingmontessori.com,www.livingmontessori.com,P-6,P,,,,,,,
Snohomish,Edmonds,Living Wisdom School of Seattle,1444,Susan McGinnis,6717 212th St SW                ,Lynnwood,WA,98036-7325,425.772.9862,susan@livingwisdomschoolseattle.org,www.livingwisdomschoolseattle.org,P-8,NP,,,,,,,
Whatcom,Lynden,Lynden Christian Schools,8222,Paul Bootsma,417 Lyncs Dr,Lynden,WA,98264-1649,360.318.9525,pbootsma@lyncs.org,www.lyncs.org,P-12,NP,CSI,,Yes,Yes,,,
Whatcom,Bellingham,Lynden Christian Schools--Evergreen Campus (2009),8936,"Glen Hendricks
Paul Bootsma",567 E Kellogg Rd,Bellingham,WA,98226-8181,360.738.8248,ghendricks@lyncs.org,www.ecsbellingham.org,P-8,NP,CSI,,Yes,,,,
Kitsap,Bainbridge Island,Madrona School,800P,Marguerite Goss,"219 Madison Ave N
(Mail: PO Box 11371
Bainbridge 98110)",Bainbridge Island,WA,98110-2503,206.855.8041,mgoss@madronaschool.org,www.madronaschool.org,P-8,NP,,,,,,,
King,Seattle,Makkah Islamic School,802F,Aishah Bomani,3613 S Juneau St,Seattle,WA,98118-2600 ,206.402.3964,"admin@makkahislamicschool.org
aishah.bomani@makkahislamicschool.org",makkahislamicschool.org,K-8,NP,,,,,,,
Grant,Wilson Creek,Marlin Hutterite School,8494,Jilleen Rowley (Hotchkiss),"1700 S Beaumont
(Mail: 21344 Rd 18 NE
Marlin 98832)",Moses Lake,WA,98837-5313,509.345.2390 x 233,jdlm60@hotmail.com,,K-12,NP,,,,,,,
Mason,Shelton,Mason County Christian School,8937,Dr. Carol Holum,470 E Eagle Ridge Dr,Shelton,WA,98584-7897,360.426.7616,carol.holum@masoncountychristianschool.org,masoncountychristianschool.org,P-9,NP,,,,,,,
King,Seattle,Matheia School,8165,Allison Soules,2205 NW 67th St,Seattle,WA,98117-5737,206.283.1828,allison@matheia.org,www.matheia.org,K-5,NP,,,,,,,
Kittitas,Cle Elum-Roslyn,Mayflower Christian School,802U,"Jerry Ihrke
Angela Standley","300 N 2nd
(Mail: PO Box 741
Cle Elum WA 98922-0741)",Roslyn,WA,98941,509.674.5022,school.admin@mayflowerchristianschool.org,www.mayflowerchristianschool.org,P-8,NP,,,,,,,
Clark,Battle Ground,Meadowglade SDA School,8013,Ricardo Peinado,18717 NE 109th Ave,Battle Ground,WA,98604-6115,360.687.5121,rpeinado@mgaes.org,www.mgaes.org,K-8,NP,SDA,,,,,,
King,Bellevue,Medina Academy,8612,Robert Mond,16242 Northrup Way                   ,Bellevue,WA,98008-2545,425.497.8848,principal@medinaacademy.org,www.medinaacademy.org,P-8,NP,,,,,,,
King,Seattle,Meridian School,8404,Meghan Kimpton,4629 Sunnyside Ave N  Suite 242,Seattle,WA,98103-6955,206.632.7154,mkimpton@meridianschool.edu,www.meridianschool.edu,K-5,NP,NAIS,,Yes,Yes,,,
Okanogan,Methow Valley,Methow Valley Community School  ,8362,Allison Ciancibelli,201 S Methow Valley HWY,Twisp,WA,98856,509.996.4447,methowvalleycommunityschool@gmail.com,www.mvcommunityschool.org,1-6,NP,,,,,,,
Pacfic,South Bend,Misson Creek Christian Education Center,804D,Mary Nell Ellingsen,"51 Harold Young Rd
(Mail: PO Box 1066
South Bend WA 98586-1066)",South Bend,WA,98586,360.875.6052,mnellingsen@yahoo.com,mcoutreach.org,6-12,NP,,,,,,,
King,Seattle,MMSC Day School,800S,Chaya Elishevitz,8420 Dayton Ave N,Seattle,WA,98103-4249,206.523.9766,celishevitz@mmscdayschool.org,www.mmscdayschool.org,K-8,NP,,,,,,,
Asotin,Clarkston,Monarch Academy,802V,Jenifer White,"1465 Poplar Street
(Mail: 1102 Chestnut St.
Clarkston WA 99403-2527)",Clarkston,WA,99403-2347,509.552.1315,jenilwhite@gmail.com ,monarchacademyprivateschool.com,P-6,NP,,,,,,,
Snohomish,Monroe,Monroe Christian School,8171,Elaine Obbink,1009 W Main St,Monroe,WA,98272-2017,360.794.8200,elaine.obbink@monroechristian.org,www.monroechristian.org,P-8,NP,CSI,,,,,,
Snohomish,Monroe,Monroe Montessori School,8995,Thea Heineman,"733 Village Way                   
",Monroe,WA,98272-2171,360.794.4622,front-office@monroemontessori.com,www.monroemontessori.com,P-6,P,,,,,,,
King,Federal Way,Montessori Academy at Spring Valley (formerly Spring Valley Montessori  2015),8078,Gulsevin Kayihan,36605 Pacific Hwy S,Federal Way,WA,98003-7499,253.874.0563,kayihang@springvalley.org,www.springvalley.org,P-8,NP,,,,,,,
Whatcom,Bellingham,Montessori at Samish Woods (formerly Samish Montessori Sch),800T,Jessica Tupper,1027 Samish Way,Bellingham,WA,98229-3103,360.650.9465,jessica@samishwoods.org,samishwoods.org,P-6,NP,,,,,,,
King,Lake Washington,Montessori Children's House,1432,Jennifer Wheelhouse,5003 218th Ave NE,Redmond,WA,98053-2429,425.868.7805,jennifer@mchkids.com,www.mchkids.com,P-6,P,AMS,,,,,,
Kitsap,Bainbridge Island,Montessori Country School,801K,Meghan Kane Skotheim,10994 Arrow Point Dr,Bainbridge Island,WA,98110-1410,206.842.4966,"meghan@montessoricountryschool.org
countryschool@hotmail.com",www.montessoricountryschool.org,P-6,NP,,,,,,,
Yakima,Yakima,Montessori School of Yakima,1468,Lorna Wigen,511 N 44th Ave,Yakima,WA,98908-2608,509.966.0680,montessoriyakima@gmail.com,msofy.org,P-6,NP,,,,,,,
Kitsap,Central Kitsap,Montessori Schoolhouse Inc dba Bilingual Montessori School (formerly Discovery Depot Montessori Schoolhouse  2017),802B,Constance Falconer,"5550 Tracyton Blvd
(Mail: 7333 Tracyton Blvd
Bremerton WA 98311-9036)",Bremerton,WA,98311-2386,360.337.1400,conniefalconer@hotmail.com,www.discoverydepotmontessori.com,K-3,P,,,,,,,
Snohomish,Everett,Montessori Schools of Snohomish Co.,8892,Kathleen Gunnell,1804 Puget Dr,Everett,WA,98203-6600,425.355.1311,mymssc@aol.com,www.mymssc.com,P-12,NP,,,,,,,
King,Seattle,Morningside Academy,8674,Dr. Kent Johnson,901 Lenora St,Seattle,WA,98121-2714,206.709.9500,kent@morningsideacademy.org,www.morningsideacademy.org,1-9,NP,,,,,,,
Grant,Moses Lake,Moses Lake Christian Academy,8356,Stephanie Voigt,1475 Nelson Road NE,Moses Lake,WA,98837-1400,509.765.9704,svoigt@mlca.us,www.MLCA.us,P-12,NP,,,,,,,
Skagit,Mount Vernon,Mount Vernon Christian School,8154,Jeff Droog,820 W Blackburn Rd,Mount Vernon,WA,98273-9596,360.424.9157,jdroog@mountvernonchristian.org,www.mountvernonchristian.org,P-12,NP,CSI,,,,,,
Clallam,Sequim,Mountain View Christian School,8315,Michelle Noonan,255 Medsker Rd,Sequim,WA,98382-8516,360.683.6170,DumaMRB@hotmail.com ,www.mountainviewschristianschool.org,1-8,NP,SDA,,,,,,
Snohomish,Mukilteo,Mukilteo Academy,1411,Victoria Michael,12978 Beverly Park Rd,Mukilteo,WA,98275-5845,425.347.3665 ext 2,VictoriaMichael@MukilteoAcademy.com,www.mukilteoAcademy.com,P-1,P,NWAC,,,,,,
Thurston,Olympia,Nature Nurtures Farm School (formerly The Children's Inn Academy--2016),8369,Julie Peters,1939 Karen Frazier Rd SE,Olympia,WA,98501-3244,"360.709.9769
360.878.7730"," info@naturenurturesfarm.org
tmcvacationrentals@gmail.com",www.naturenurturesfarm.org,P-6,NP,,,,,,,
King,Renton,New Horizon School,8110,Marla Veliz,1111 S Carr Rd,Renton,WA,98055-5839,425.226.3717,mveliz@new-horizon-school.org,www.new-horizon-school.org,4-12,NP,NWAC,,Yes,,,,
Grant,Ephrata,New Life Christian School,8605,Nathan Dowd,911 E Division,Ephrata,WA,98823-1965,509.754.5558,administrator@nlcs.us,www.NewLifeEphrata.com,P-8,NP,AESD,,,,,,
King,Bellevue,Newport Children's School,8986,Cynthia Chaney,12930 SE Newport Way,Bellevue,WA,98006-2078,425.641.0824,cynthiac@newportschool.com,www.newportschool.com,P-1,P,,,,,,,
Yakima,Naches Valley,Nile Christian School/Hope Academy,8596,Bruce Gillespie,370 Flying H Loop,Naches,WA,98937-9440,509.658.2990,brucegillespie@flyingh.org,www.flyingh.org,7-12,NP,NWAC,Yes,,,,,
Grays Harbor,North Beach,North Coast Montessori School,804N,Helen Gilbert,"21 Seabrook Ave  Suite 4
(Mail: PO Box 175
Pacific Beach 98571-0175)",Pacific Beach,WA,98571,360.276.5077,helengilbert@learningenrichmentcenter.org,northcoastmontessori.com,K-8,P,,,,,,,
Okanogan,Oroville,North Country Christian School,8918,Margo Thompson,737 Mary Ann Creek Rd,Oroville,WA,98844-9643,509.485.2011,margolthompson@yahoo.com,nohttp://christianschoolcampg.weebly.com,P-12,NP,,,Yes,Yes,,,
King,Seattle,North Seattle French School,802W,Elodie Le Nezet,12351 8th Ave NE,Seattle,WA,98125-4805,206.403.0781,"northseattlefrenchschool@gmail.com
elodie.lenezet@northseattlefrenchschool.com",www.northseattlefrenchschool.com,K-4,NP,,,,,,,
Spokane,Mead,North Wall Elementary,8725,Leslie Watkins,9408 N Wall St,Spokane,WA,99218-2245,509.466.2695,lesliewatkins@northwallschools.com,www.northwallschools.com,P-6,P,AESD,,Yes,Yes,,,
Island,Oak Harbor,North Whidbey Christian High,1478,Douglas Fakkema,"675 E Whidbey Ave                
(Mail PO Box 2471                 
Oak Harbor 98277-6471)",Oak Harbor,WA,98277-5901,360.675.5352,dougfakkema@gmail.com,www.nwchs.org,7-12,NP,,,,,,,
Island,Oak Harbor,North Whidbey Kids' Academy (formerly Doodlebugs Acad  2013),801I,Tina Smith,297 NE Harvest Dr.,Oak Harbor,WA,98277-5909,"360.675.4911
360.929.4705",northwhidbeykidsacademy1@comcast.net,http://home.comcast.net/~doodlebugsacademy/index.html,P-2,P,,,,,,,
King,Lake Washington,Northern Lights Montessori School–Willows Campus (formerly Northern Lights Montessori School--2nd Location [2014]),803P,Florence Plantilla,"14615 NE 91st St
(Mail: 8460 NE 160th Ave
Redmond 98052-3855)",Redmond,WA,98052-3553,425.647.3031,florenceplantilla@yahoo.com,www.norlightsmontessori.org,P-2,P,AMS,,,,,,
King,Lake Washington,Northlake Academy,804E,Susan Werner ,12931 NE 126th Place,Kirkland,WA,98034-7715,425.889.4444,northlakepreschool@gmail.com,northlakeacademy.org,P-5,P,,,,,,,
Snohomish,Mukilteo,Northshore Christian Academy,8111,Holly Leach,5700 23rd Dr W,Everett,WA,98203-1570,425.407.1119,hleach@northshorechristian.org,northshorechristianschools.org,P-8,NP,ACSI,,,,,,
Spokane,Spokane,Northwest Achieve Schools,802X,Christopher Eirls,116 W Indiana Ave,Spokane,WA,99205-4827,509.327.3311,ceirls@msn.com,www.ascendtotheheights.com,P-12,NP,,,Yes,Yes,,,
Thurston,North Thurston,Northwest Christian High School,8174,Dr. Terry Ketchum,4710 Park Center Ave NE,Lacey,WA,98516-5587,360.491.2966,tketchum.nchs@gmail.com,www.nchs-olympia.org,9-12,NP,,,,,,,
Spokane,Mead,Northwest Christian School,8182,Dr. Jack Hancock,5028 E Bernhill Rd,Colbert,WA,99005-9557,509.292.6700,jhancock@nwcs.org,www.nwcs.org,P-8,NP,,,,,,,
Spokane,Mead,Northwest Christian School,8270,Dr. Jack Hancock,5104 E Bernhill Rd,Colbert,WA,99005-9005,509.238.4005,jhancock@nwcs.org,www.nwcs.org,9-12,NP,NWAC,,,,,,
Pierce,Puyallup,Northwest Christian School (formerly Nelson Crane Christian School) (2009),8129,Carisa Carr,904 Shaw Rd,Puyallup,WA,98372-5211,253.845.5722,ccarr@nwchristianschool.org,www.nwchristianschool.org,P-8,NP,SDA,,,,,,
Yakima,Granger,Northwest Education Academy,805K,Allisen Yolanda Paez,121 Sunnyside Ave,Granger,WA,98932-9348,360.870.7028,officenwacademy@gmail.com,,P-12,,,,,,,,
King,Northshore,Northwest Liberty School ,1484,Robert Hagin,13120 NE 177th Pl  A-104,Woodinville,WA,98072-5725,425.420.1236,Bob.Hagin@NWLS.us,NorthwestLibertySchool.org,6-12,P,NWAC,,,,,,
King,Seattle,Northwest Montessori,8894,Jan Thorslund,"4910 Phinney Ave N                   
(Mail: 7400 25th Ave NE           
Seattle 98115-5814)",Seattle,WA,98103-6347,206.524.4244,jthorslund@northwestmontessori.org,www.northwestmontessori.org,P-6,NP,AMS,,,,,,
King,Seattle,Northwest School,8573,Michael McGill,1415 Summit Ave,Seattle,WA,98122-3619,206.682.7309,mike.mcgill@northwestschool.org,www.northwestschool.org,6-12,NP,NAIS,Yes,,,,,
King,Shoreline,Northwest School for Deaf and Hard-of-Hearing Children dba Northwest School For Hearing Impaired Children (formerly Northwest School for Hearing Impaired Children  2014),8684,Lynessa Cronn,"15303 Westminster Way N          
(Mail: PO Box 33666                  
Shoreline 98133-0666)",Shoreline,WA,98133-6126,206.364.4605,l.cronn@northwestschool.com ,www.northwestschool.com,P-8,NP,,,,,,,
King,Mercer Island,Northwest Yeshiva High School,8569,Malka Popper,5017 90th Ave SE,Mercer Island,WA,98040-4709,206.232.5272,Mpopper@NYHS.org,www.nyhs.com,9-12,NP,AESD,,,,,,
Thurston,Olympia,Nova School,8948,Barbara Mitchell Hutton,2020 22nd Ave SE,Olympia,WA,98501-3102,360.491.7097,BHutton@novaschool.org,novaschool.org,6-8,NP,NAIS,,,Yes,,,
Walla Walla,Prescott,Nueva Esperanza Leadership Academy (formerly First Fruits Academy 2016),804Q,Eric Sobotta,1111 Fish Hook Park Dr,Prescott,WA,99348-9618,509.749.2138,erics@firstfruits.com,nelaeducation.org,K-9,NP,,,,,,,
Island,Oak Harbor,Oak Harbor Christian School,8026,Sherry Fakkema,675 E Whidbey Ave,Oak Harbor,WA,98277-2596,360.675.2831,mrsfakkema@oakharborchristian.org,oakharborchristian.org,P-6,NP,,,,,,,
Yakima,West Valley 208,Oakridge Ranch - Montessori Farm School,1413,Judy Lefors,"11002 Orchard Ave 
(Mail: 6403 Summitview Ave
Yakima 98908-1362)",Yakima,WA,98908-9102,509.966.1080,oakridgeyakima@aol.com,oakridgeyakima@aol.com,K-9,NP,AESD,,,,,,
King,Seattle,O'Dea High School,8050,James Walker,802 Terry Ave,Seattle,WA,98104-1294,206.622.6596,jdwalker@odea.org,www.odea.org,9-12,NP,NWAC,,,,,,
Thurston,Olympia,Olympia Christian School,8209,Sharon Schwarts,1215 Ethel St NW,Olympia,WA,98502-4463,360.352.1831, sjcrooms@aol.com,www.ocssda.org,K-8,NP,SDA,,,,,,
Thurston,Olympia,Olympia Community School,8317,Stefanie Hardy,"114 20th Ave SE
(Mail: PO Box 12436
 Olympia 98508-2436)",Olympia,WA,98501-3666,360.866.8047,president@olyedu.org,www.olympiacommunityschool.org,K-5,NP,,,,,,,
Thurston,Tumwater,Olympia Waldorf School,8855,Dominic Kehoe,"8126 Normandy St SE
(Mail: PO Box 130
East Olympia 98540-0638)",Olympia,WA,98501-9623,360.493.0906,dkehoe@olympiawaldorf.org,www.olympiawaldorf.org,P-8,NP,AWSNA,,,,,,
Clallam,Port Angeles,Olympic Christian School,8302,Mitch Johnson,43 O'Brien Rd,Port Angeles,WA,98362-9225,360.457.4640,mjohnson@olympicchristian.org,www.olympicchristian.org,P-8,NP,,,,,,,
Okanogan,Omak,Omak Adventist Christian School,8985,Jennifer J. Hoffpauir,"425 W 2nd Ave                    
(Mail: PO Box 3294                 
Omak  98841-3294)",Omak,WA,98841,509.826.5341,omakadventistchristianschool@yahoo.com,omakadventistschool.org,1-8,NP,,,,,,,
King,Issaquah,Open Window School,8830,Jeff Stroebel,6128 168th Place SE,Bellevue,WA,98006-5679,425.747.2911,jeffs@ows.org,www.openwindowschool.org,K-8,NP,NAIS,,,Yes,,,
San Juan,Orcas Island,Orcas Christian School,8557,Thomas Roosma,"107 Enchanted Forest Rd
(Mail: PO Box 669
Eastsound WA 98245-0669)",Eastsound,WA,98245-8905,360.376.6683,"roosmat@hotmail.com
roosmat@gmail.com",www.oics.org,K-12,NP,SDA,,,,,,
King,Seattle,Our Lady of Fatima School,8051,Nicholas Ford,3301 W Dravus St,Seattle,WA,98199-2624,206.283.7031,nford@olfatima.org,www.school.olfatima.org,P-8,NP,WCEA,,,,,,
King,Seattle,Our Lady of Guadalupe School,8052,Anton Kramer,3401 SW Myrtle St,Seattle,WA,98126-3399,206.935.0651,akramer@guadalupe-school.org,guadalupe-school.org,P-8,NP,WCEA,,,,,,
Clark,Vancouver,Our Lady of Lourdes School,8009,Holly Rogers,4701 NW Franklin St,Vancouver,WA,98663-1798,360.696.2301,"principal@lourdesvan.org
hrogers@lourdesvan.org",www.lourdesvan.org,P-8,NP,WCEA,,,,,,
King,Seattle,Our Lady Of The Lake School,8054,Vince McGovern,3520 NE 89th St,Seattle,WA,98115-3648,206.525.9980,vmcgovern@ollseattle.org,www.ollseattle.org,P-8,NP,WCEA,,,,,,
Kitsap,Bremerton,Our Lady Star of the Sea School,8115,Jeannette Wolfe,1516 5th St,Bremerton,WA,98337-1216,360.373.5162,jwolfe@starofthesea.net,school.starofthesea.net,P-8,NP,WCEA,,,,,,
King,Federal Way,Overcomer Academy (formerly Stepping Stones Christian Sch)  (2010),1474,Bonnie Carpenter,33415 Military Rd S,Auburn ,WA,98001-9603,253.886.5710,"bonniec@overcomercc.org
medgar.wells@overcomeracademy.com",www.overcomercc.org,P-7,NP,,,,,,,
King,Lake Washington,Overlake School,8109,Matthew Horvat,20301 NE 108th St,Redmond,WA,98053-7499,425.868.1000,mhorvat@overlake.org,www.overlake.org,5-12,NP,NAIS,,,,,,
Clark,Camas,Pacific Crest Academy,8394,Tamar Parker,324 NE Oak Street ,Camas,WA,98607-1439,360.834.9913,parker@pacificcrestacademy.org,www.pacificcrestacademy.org,P-8,NP,WCEA,,,,,,
King,Seattle,Pacific Crest Schools,8929,Dorothea Knapp Guy,600 NW Bright St,Seattle,WA,98107-4451,206.789.7889,director@pacificcrest.org,www.pacificcrest.org,P-8,NP,NWAC,,,,,,
King,Federal Way,Pacific International School,805L,Jung No Norton,4244 S 280th St,Auburn,WA,98001-1168,360.941.5800,jungnonorton931@gmail.com,,K-3,P,,,,,,,
King,Issaquah,Pacific Learning Academy,801V,Kirsten O'Malley,2908 228th Ave SE,Sammamish,WA,98075-9516,425.562.3545,Kirsten@PacificLearningAcademy.com,www.pacificlearningacademy.com/,6-12,P,NWAC,,,,,,
Snohomish,Shoreline,Pacific Learning Center NW,8419,Daniel D. Hanson,14550 Westminster Way,Shoreline,WA,98133-6431,425.672.6805,info@plcnw.org,www.plcnw.org,K-12,NP,NWAC,,Yes,,,,
Spokane,Spokane,Palisades Christian Academy (formerly Spokane Jr Acad  2009),8186,Dan Wister,1115 N Governmental Way,Spokane,WA,99224-5247,509.325.1985,principal@pcasda.org,http://www.pcasda.org,P-10,NP,SDA,,,,,,
Thurston,North Thurston,Paramount Christian Academy,803H,Amy Goodwin,3816 College St SE,Lacey,WA,98503-3534,360.878.8915,amy@paramountchristian.org,http://paramountchristianacademy.org,P-5,NP,NWAC,,,,,,
Pierce,Franklin Pierce,Parkland Lutheran School,8150,Brent Sorn,120 123rd St S,Tacoma,WA,98444-5060,253.537.1901,bsorn@parklandlutheran.org ,www.parklandlutheran.org,K-8,NP,,,,,,,
Kitsap,Central Kitsap,Peace Lutheran School,8613,Sheri Juszczak,1234 NE Riddell Rd,Bremerton,WA,98310-3668,360.373.2116,sjuszczak@peacebremerton.org,www.peacelutherannw.org,P-8,NP,NLSC,,,,,,
King,Seattle,Perkins School,8251,Barry Wright,9005 Roosevelt Way NE,Seattle,WA,98115-3030,206.526.8217,bwright@theperkinsschool.org,www.perkinsschool.com,K-5,NP,NAIS,,,,,,
Whatcom,Ferndale,Pioneer Meadows Montessori School ,1447,Lee Smith,2377 Douglas Rd,Ferndale,WA,98248-9049,360.778.3681,lee.smith@pmmontessori.org,www.pmmontessori.org,P-6,NP,,,,,,,
Spokane,Central Valley,Pioneer School,8724,Betty Burley-Wolf,618 N Sullivan Rd,Veradale,WA,99037-8528,509.922.7818,betty@pioneerschool.com,www.pioneerschool.com,K-5,NP,,,,Yes,,,
Thurston,North Thurston,Pope John Paul II High School,800Z,Ronald Edwards,5608 Pacific Ave SE                     ,Lacey,WA,98503-1258,360.438.7600,redwards@popejp2hseagles.org,www.popejp2hs.org,9-12,NP,WCEA,,,,,,
Kitsap,North Kitsap,Poulsbo SDA School,8874,Sandy Hawkins,1700 Lincoln Rd NE  Suite 1,Poulsbo,WA,98370-8549,360.779.6290,sandyjhawkins@yahoo.com ,paslearn.org,1-8,NP,SDA,,,,,,
King,Mercer Island,Privett Academy,1436,Carol C. Meyer,"9311 SE 36th St                               
(Mail: PO Box 42                      
Mercer Island  98040-0042)",Mercer Island,WA,98040-3740,206.232.0059,cmeyer150@comcast.net,www.privettacademy.org,6-12,NP,NWAC,,,,,,
Whatcom,Ferndale,Providence Christian School Northwest (formerly Providence Christian School) (2009),8493,Kathy Vander Pol,"5942 Portal Way                               
(Mail: PO Box 180                                 
Ferndale  98248-0180)",Ferndale,WA,98248-9361,360.318.1347 ,pcs.nw@live.com,ferndalechristianschool.com,K-12,NP,,,,,,,
Snohomish,Lake Washington,Providence Classical Christian School,1449,Ryan Evans,11725 NE 118th St,Kirkland,WA,98034-7114,425.774.6622,ryanevans@pccs.org,www.pccs.org,P-12,NP,,,,,,,
King,Lake Washington,Puget Sound Adventist Academy,8259,Ron Jacaban,5320 108th Ave NE,Kirkland,WA,98033-7517,425.822.7554,rjacaban@psaa.org,www.psaa.org,9-12,NP,SDA,,,,,,
King,Seattle,Puget Sound Community School,8652,Andrew Smallman,660 S Dearborn St,Seattle,WA,98134-1328,206.324.4350,"pscs@pscs.org
melinda@pscs.org",www.pscs.org,6-12,NP,,,,,,,
Pierce,Tacoma,Puget Sound Lutheran Schools — Concordia Lutheran Schools (formerly Concordian Lutheran School 2017),8134,Sherrie Gibelyou,202 E 56th St,Tacoma,WA,98404-1298,253.475.9513,sherrie.gibelyou@cls-mrlhs.org,www.concordiatacoma.com,P-8,NP,NLSA,,Yes,Yes,,,
Pierce,Franklin Pierce,Puget Sound Lutheran Schools— Mt. Rainier Lutheran High School  (formerly Mt. Rainier Lutheran High School 2017),8956,Sherrie Gibelyou,12108 Pacific Ave S,Tacoma,WA,98444-5125,253.284.4433,sherrie.gibelyou@cls-mrlhs.org,www.mrlh.org,9-12,NP,NLSA,,,,,,
Whitman,Pullman,Pullman Christian School,8397,Sherri Goetze,345 SW Kimball,Pullman,WA,99163-2146,509.332.3545,sherrig@PullmanChristianSchool.org,www.pullmanchristianschool.org,K-12,NP,,,,,,,
Clallam,Port Angeles,Queen of Angels School,8006,Ann Austin,1007 S Oak St,Port Angeles,WA,98362-7742,360.457.6903,austin@qofaschool.org,www.qofaschool.org,P-8,NP,WCEA,,,,,,
Grant,Quincy,Quincy Valley School,1472,Sara Tuttle,1804 13th Ave SW,Quincy,WA,98848-1930,509.797.5301,stuttle@quincyvalleyschool.org,www.quincyvalleyschool.org,P-8,NP,AESD,,,,,,
King,Kent,Rainier Christian High School,8848,Justin Evans,26201 180th Ave SE,Covington,WA,98042-4917,253.735.1413,justin.evans@rainierchristian.org,www.rainiercsd.com,9-12,NP,,,,,,,
King,Auburn,Rainier Christian Middle School,8242,Don Garnand,20 49th St NE,Auburn,WA,98002-1201,253.639.7715,don.garnand@rainierchristian.org,www.rainiercsd.org,7-8,NP,,,,,,,
King,Auburn,Rainier Christian Schools-Kent View Elementary,8622,Don Garnand,20 49th St NE,Auburn,WA,98002-1201,253.852.5145,don.garnand@rainierchristian.org,http://www.rainiercsd.org/kvces/index.htm,K-6,NP,,,,,,,
King,Kent,Rainier Christian Schools-Maple Valley Elementary,8099,Weldo D. Melvin,"16700 174th Ave SE                  
(Mail: PO Box 58129         
Renton 98058-1129)",Renton,WA,98058-9546,425.226.4640,weldo.melvin@rainierchristian.org,www.rainiercsd.org,P-6,NP,,,,,,,
King,Renton,Renton Christian School,8540,Dr. Erik Konsmo,15717 152nd Ave SE,Renton,WA,98058-6330,425.226.0820,erik.konsmo@rentonchristian.org,www.rentonchristian.org,P-12,NP,ACSI,,,,,,
King,Renton,Renton Preparatory Christian School,804F,"Dr. David-Paul Zimmerman
Dr. Michelle Zimmerman",200 Mill Ave S  Suite 100,Renton,WA,98057-2175,206.723.5526,"drzimmerman@agcschool.org
m.zimmerman@agcschool.org",www.rentonprep.org,3-12,NP,,,,,,,
Snohomish,Sultan,RESTART Leadership Academy,804U,Cosette Rae,30001 138th Pl SE,Monroe,WA,98272-9037,800.682.6934,cosette.rae@restartlife.com,www.restartlife.com,8-12,P,,,,,,,
Spokane,Spokane,Riverday School (formerly River Day School 2013),801W,Colleen Curran,1627 E Trent,Spokane,WA,99202-2940,509.326.6595,"cmcrw@aol.com
office@riverdayschool.org",www.riverdayschool.org,K-6,NP,,,,,,,
Yakima,East Valley 90,Riverside Christian School,8316,Richard Van Beek,721 Keys Rd,Yakima,WA,98901-9560,509.965.2602,vanbeekr@riversidechristian.net,www.riversidechristianschool.com,P-12,NP,ACSI,,Yes,,,,
Clark,Camas,Riverside SDA Christian School,8973,Heidi Kruger,"463 N Shepherd Rd                     
(Mail: PO Box 367              
Washougal 98671-0367)",Washougal,WA,98671-8318      ,360.835.5600,riversidesch@gmail.com,www.riversidesch.com,P-8,NP,SDA,,,,,,
Stevens,Colville,Riverwood Community School,803Q,Monica Voltz,146-B Buena Vista Dr,Colville,WA,99114-9603,509.675.4108,rcsoffice1@gmail.com,riverwoodschool.org,K-8,NP,,,,,,,
Lincoln,Odessa,Rock Creek Hutterite,8395,Phillip Walter,2194 N Schoonover Rd,Odessa,WA,99159-9729,509.988.0600,phil.0600@gmail.com,,K-12,NP,,,,,,,
Walla Walla,College Place,Rogers Adventist School,8213,Holly Bryant,200 SW Academy Way,College Place,WA,99324-1275,509.529.1850,principal@rschool.org,www.rschool.org,K-8,P,SDA,,,,,,
King,Seattle,Root Academy,804V,Heather McKenzie Graham,2332 N 116th St,Seattle,WA,98133-8514,425.260.9167,mackenzie@rootacademyseattle.com,rootacademyseattle.com,P-8,P,,,Yes,Yes,,,
King,Bellevue,Sacred Heart School,8093,David Burroughs,9450 NE 14th St,Clyde Hill,WA,98004-3497,425.451.1773,dburroughs@sacredheart.org,www.sacredheart.org,P-8,NP,WCEA,,,,,,
